,code_insee,nom_standard,nom_sans_pronom,nom_a,nom_de,nom_sans_accent,nom_standard_majuscule,typecom,typecom_texte,reg_code,reg_nom,dep_code,dep_nom,canton_code,canton_nom,epci_code,epci_nom,academie_code,academie_nom,code_postal,codes_postaux,zone_emploi,code_insee_centre_zone_emploi,code_unite_urbaine,nom_unite_urbaine,taille_unite_urbaine,type_commune_unite_urbaine,statut_commune_unite_urbaine,population,superficie_hectare,superficie_km2,densite,altitude_moyenne,altitude_minimale,altitude_maximale,latitude_mairie,longitude_mairie,latitude_centre,longitude_centre,grille_densite,grille_densite_texte,niveau_equipements_services,niveau_equipements_services_texte,gentile,url_wikipedia,url_villedereve
0,01001,L'Abergement-Clémenciat,Abergement-Clémenciat,à Abergement-Clémenciat,de l'Abergement-Clémenciat,l-abergement-clemenciat,L'ABERGEMENT-CLÉMENCIAT,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0108,Châtillon-sur-Chalaronne,200069193,CC de la Dombes,10,Lyon,01400,01400,08405,01053,01000,,0.0,HORS UNITE URBAINE,H,832,1565,16,53.0,242,206.0,272.0,46.151,4.921,46.153,4.926,6,Rural à habitat dispersé,0.0,communes non pôle,,https://fr.wikipedia.org/wiki/fr:L'Abergement-Clémenciat,https://villedereve.fr/ville/01001-l-abergement-clemenciat
1,01002,L'Abergement-de-Varey,Abergement-de-Varey,à Abergement-de-Varey,de l'Abergement-de-Varey,l-abergement-de-varey,L'ABERGEMENT-DE-VAREY,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0101,Ambérieu-en-Bugey,240100883,CC de la Plaine de l'Ain,10,Lyon,01640,01640,08405,01053,01000,,0.0,HORS UNITE URBAINE,H,267,912,9,29.0,483,290.0,748.0,46.007,5.423,46.009,5.428,6,Rural à habitat dispersé,0.0,communes non pôle,"Abergementais, Abergementaises",https://fr.wikipedia.org/wiki/fr:L'Abergement-de-Varey,https://villedereve.fr/ville/01002-l-abergement-de-varey
2,01004,Ambérieu-en-Bugey,Ambérieu-en-Bugey,à Ambérieu-en-Bugey,d'Ambérieu-en-Bugey,amberieu-en-bugey,AMBÉRIEU-EN-BUGEY,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0101,Ambérieu-en-Bugey,240100883,CC de la Plaine de l'Ain,10,Lyon,01500,"01500, 01501, 01504, 01503, 01502, 01505, 01506",08405,01053,01303,Ambérieu-en-Bugey,3.0,UNITE URBAINE,C,14854,2448,24,607.0,379,237.0,753.0,45.958,5.36,45.961,5.373,2,Centres urbains intermédiaires,3.0,centres structurants d'équipements et de services,"Ambarrois, Ambarroises",https://fr.wikipedia.org/wiki/fr:Ambérieu-en-Bugey,https://villedereve.fr/ville/01004-amberieu-en-bugey
3,01005,Ambérieux-en-Dombes,Ambérieux-en-Dombes,à Ambérieux-en-Dombes,d'Ambérieux-en-Dombes,amberieux-en-dombes,AMBÉRIEUX-EN-DOMBES,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0122,Villars-les-Dombes,200042497,CC Dombes Saône Vallée,10,Lyon,01330,01330,08434,69264,01000,,0.0,HORS UNITE URBAINE,H,1897,1605,16,118.0,290,265.0,302.0,45.996,4.903,45.996,4.912,5,Bourgs ruraux,1.0,centres locaux d'équipements et de services,Ambarrois,https://fr.wikipedia.org/wiki/fr:Ambérieux-en-Dombes,https://villedereve.fr/ville/01005-amberieux-en-dombes
4,01006,Ambléon,Ambléon,à Ambléon,d'Ambléon,ambleon,AMBLÉON,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0104,Belley,200040350,CC Bugey Sud,10,Lyon,01300,01300,08404,01034,01000,,0.0,HORS UNITE URBAINE,H,113,602,6,19.0,589,330.0,940.0,45.748,5.601,45.75,5.594,6,Rural à habitat dispersé,0.0,communes non pôle,Ambléonais,https://fr.wikipedia.org/wiki/fr:Ambléon,https://villedereve.fr/ville/01006-ambleon
5,01007,Ambronay,Ambronay,à Ambronay,d'Ambronay,ambronay,AMBRONAY,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0101,Ambérieu-en-Bugey,240100883,CC de la Plaine de l'Ain,10,Lyon,01500,"01500, 01504",08405,01053,01000,,0.0,HORS UNITE URBAINE,H,2833,3359,34,84.0,309,225.0,765.0,46.008,5.361,46.006,5.358,6,Rural à habitat dispersé,1.0,centres locaux d'équipements et de services,Ambrons,https://fr.wikipedia.org/wiki/fr:Ambronay,https://villedereve.fr/ville/01007-ambronay
6,01008,Ambutrix,Ambutrix,à Ambutrix,d'Ambutrix,ambutrix,AMBUTRIX,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0101,Ambérieu-en-Bugey,240100883,CC de la Plaine de l'Ain,10,Lyon,01500,01500,08405,01053,01303,Ambérieu-en-Bugey,3.0,UNITE URBAINE,B,768,518,5,148.0,274,237.0,370.0,45.939,5.337,45.937,5.333,4,Ceintures urbaines,1.0,centres locaux d'équipements et de services,Butrians,https://fr.wikipedia.org/wiki/fr:Ambutrix,https://villedereve.fr/ville/01008-ambutrix
7,01009,Andert-et-Condon,Andert-et-Condon,à Andert-et-Condon,d'Andert-et-Condon,andert-et-condon,ANDERT-ET-CONDON,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0104,Belley,200040350,CC Bugey Sud,10,Lyon,01300,01300,08404,01034,01000,,0.0,HORS UNITE URBAINE,H,322,696,7,46.0,294,225.0,374.0,45.794,5.656,45.787,5.658,6,Rural à habitat dispersé,0.0,communes non pôle,,https://fr.wikipedia.org/wiki/fr:Andert-et-Condon,https://villedereve.fr/ville/01009-andert-et-condon
8,01010,Anglefort,Anglefort,à Anglefort,d'Anglefort,anglefort,ANGLEFORT,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0110,Plateau d’Hauteville,200070852,CC Usses et Rhône,10,Lyon,01350,01350,08416,74012,01000,,0.0,HORS UNITE URBAINE,H,1125,2948,29,38.0,706,238.0,1524.0,45.914,5.809,45.909,5.795,5,Bourgs ruraux,1.0,centres locaux d'équipements et de services,Clafordans,https://fr.wikipedia.org/wiki/fr:Anglefort,https://villedereve.fr/ville/01010-anglefort
9,01011,Apremont,Apremont,à Apremont,d'Apremont,apremont,APREMONT,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0114,Nantua,200042935,CA Haut - Bugey Agglomération,10,Lyon,01100,01100,08425,01283,01000,,0.0,HORS UNITE URBAINE,H,383,1507,15,25.0,927,658.0,1042.0,46.208,5.659,46.206,5.658,6,Rural à habitat dispersé,0.0,communes non pôle,Apremontais (ou Marranes),https://fr.wikipedia.org/wiki/fr:Apremont (Ain),https://villedereve.fr/ville/01011-apremont
10,01012,Aranc,Aranc,à Aranc,d'Aranc,aranc,ARANC,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0110,Plateau d’Hauteville,200042935,CA Haut - Bugey Agglomération,10,Lyon,01110,01110,08404,01034,01000,,0.0,HORS UNITE URBAINE,H,327,2172,22,15.0,795,431.0,1011.0,46.003,5.508,46.002,5.511,6,Rural à habitat dispersé,0.0,communes non pôle,Randaoillards,https://fr.wikipedia.org/wiki/fr:Aranc,https://villedereve.fr/ville/01012-aranc
11,01013,Arandas,Arandas,à Arandas,d'Arandas,arandas,ARANDAS,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0101,Ambérieu-en-Bugey,240100883,CC de la Plaine de l'Ain,10,Lyon,01230,01230,08405,01053,01000,,0.0,HORS UNITE URBAINE,H,141,1402,14,10.0,749,455.0,939.0,45.897,5.486,45.891,5.499,7,Rural à habitat très dispersé,0.0,communes non pôle,Carcaillons,https://fr.wikipedia.org/wiki/fr:Arandas,https://villedereve.fr/ville/01013-arandas
12,01014,Arbent,Arbent,à Arbent,d'Arbent,arbent,ARBENT,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0115,Oyonnax,200042935,CA Haut - Bugey Agglomération,10,Lyon,01100,"01112, 01102, 01100, 01117, 01101",08425,01283,01402,Oyonnax,4.0,UNITE URBAINE,B,3409,2374,24,144.0,709,435.0,1100.0,46.295,5.682,46.284,5.691,4,Ceintures urbaines,2.0,centres intermédiaires d'équipements et de services,Arbanais,https://fr.wikipedia.org/wiki/fr:Arbent,https://villedereve.fr/ville/01014-arbent
13,01015,Arboys en Bugey,Arboys en Bugey,à Arboys en Bugey,d'Arboys en Bugey,arboys-en-bugey,ARBOYS EN BUGEY,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0104,Belley,200040350,CC Bugey Sud,10,Lyon,01300,01300,08404,01034,01000,,0.0,HORS UNITE URBAINE,H,667,1301,13,51.0,289,221.0,778.0,45.729,5.65,45.724,5.653,6,Rural à habitat dispersé,0.0,communes non pôle,,https://fr.wikipedia.org/wiki/fr:Arboys-en-Bugey,https://villedereve.fr/ville/01015-arboys-en-bugey
14,01016,Arbigny,Arbigny,à Arbigny,d'Arbigny,arbigny,ARBIGNY,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0117,Replonges,200071371,CC Bresse et Saône,10,Lyon,01190,01190,00059,71270,01000,,0.0,HORS UNITE URBAINE,H,459,1756,18,26.0,185,169.0,214.0,46.47,4.971,46.478,4.96,6,Rural à habitat dispersé,0.0,communes non pôle,Arbignerons,https://fr.wikipedia.org/wiki/fr:Arbigny,https://villedereve.fr/ville/01016-arbigny
15,01017,Argis,Argis,à Argis,d'Argis,argis,ARGIS,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0101,Ambérieu-en-Bugey,240100883,CC de la Plaine de l'Ain,10,Lyon,01230,01230,08405,01053,01000,,0.0,HORS UNITE URBAINE,H,432,787,8,55.0,517,300.0,819.0,45.934,5.49,45.934,5.482,6,Rural à habitat dispersé,0.0,communes non pôle,Argissiens,https://fr.wikipedia.org/wiki/fr:Argis,https://villedereve.fr/ville/01017-argis
16,01019,Armix,Armix,à Armix,d'Armix,armix,ARMIX,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0110,Plateau d’Hauteville,200040350,CC Bugey Sud,10,Lyon,01510,01510,08404,01034,01000,,0.0,HORS UNITE URBAINE,H,26,695,7,4.0,831,420.0,1064.0,45.849,5.586,45.854,5.584,7,Rural à habitat très dispersé,0.0,communes non pôle,Armixois,https://fr.wikipedia.org/wiki/fr:Armix,https://villedereve.fr/ville/01019-armix
17,01021,Ars-sur-Formans,Ars-sur-Formans,à Ars-sur-Formans,d'Ars-sur-Formans,ars-sur-formans,ARS-SUR-FORMANS,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0122,Villars-les-Dombes,200042497,CC Dombes Saône Vallée,10,Lyon,01480,01480,08434,69264,01000,,0.0,HORS UNITE URBAINE,H,1498,557,6,269.0,257,226.0,281.0,45.993,4.822,45.994,4.822,5,Bourgs ruraux,1.0,centres locaux d'équipements et de services,Arsois,https://fr.wikipedia.org/wiki/fr:Ars-sur-Formans,https://villedereve.fr/ville/01021-ars-sur-formans
18,01022,Artemare,Artemare,à Artemare,d'Artemare,artemare,ARTEMARE,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0110,Plateau d’Hauteville,200040350,CC Bugey Sud,10,Lyon,01510,01510,08404,01034,01000,,0.0,HORS UNITE URBAINE,H,1177,334,3,352.0,267,242.0,360.0,45.875,5.693,45.87,5.691,5,Bourgs ruraux,2.0,centres intermédiaires d'équipements et de services,Artemariens,https://fr.wikipedia.org/wiki/fr:Artemare,https://villedereve.fr/ville/01022-artemare
19,01023,Asnières-sur-Saône,Asnières-sur-Saône,à Asnières-sur-Saône,d'Asnières-sur-Saône,asnieres-sur-saone,ASNIÈRES-SUR-SAÔNE,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0117,Replonges,200071371,CC Bresse et Saône,10,Lyon,01570,01570,00059,71270,01000,,0.0,HORS UNITE URBAINE,H,77,469,5,16.0,172,167.0,175.0,46.383,4.883,46.386,4.884,6,Rural à habitat dispersé,0.0,communes non pôle,Asniérois,https://fr.wikipedia.org/wiki/fr:Asnières-sur-Saône,https://villedereve.fr/ville/01023-asnieres-sur-saone
20,01024,Attignat,Attignat,à Attignat,d'Attignat,attignat,ATTIGNAT,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0102,Attignat,200071751,CA du Bassin de Bourg-en-Bresse,10,Lyon,01340,01340,08405,01053,01113,Attignat,1.0,UNITE URBAINE,I,3336,1894,19,176.0,217,199.0,233.0,46.29,5.159,46.286,5.18,5,Bourgs ruraux,1.0,centres locaux d'équipements et de services,Attignatis,https://fr.wikipedia.org/wiki/fr:Attignat,https://villedereve.fr/ville/01024-attignat
21,01025,Bâgé-Dommartin,Bâgé-Dommartin,à Bâgé-Dommartin,de Bâgé-Dommartin,bage-dommartin,BÂGÉ-DOMMARTIN,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0117,Replonges,200071371,CC Bresse et Saône,10,Lyon,01380,01380,00059,71270,01201,Bâgé-Dommartin,2.0,UNITE URBAINE,C,4065,3983,40,102.0,201,179.0,217.0,46.317,4.947,46.323,4.953,6,Rural à habitat dispersé,1.0,centres locaux d'équipements et de services,,https://fr.wikipedia.org/wiki/fr:Bâgé-Dommartin,https://villedereve.fr/ville/01025-bage-dommartin
22,01026,Bâgé-le-Châtel,Bâgé-le-Châtel,à Bâgé-le-Châtel,de Bâgé-le-Châtel,bage-le-chatel,BÂGÉ-LE-CHÂTEL,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0117,Replonges,200071371,CC Bresse et Saône,10,Lyon,01380,01380,00059,71270,01201,Bâgé-Dommartin,2.0,UNITE URBAINE,B,979,86,1,1138.0,202,184.0,211.0,46.308,4.929,46.308,4.929,5,Bourgs ruraux,1.0,centres locaux d'équipements et de services,"Bâgésien, Bâgésienne",https://fr.wikipedia.org/wiki/fr:Bâgé-le-Châtel,https://villedereve.fr/ville/01026-bage-le-chatel
23,01027,Balan,Balan,à Balan,de Balan,balan,BALAN,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0112,Meximieux,240100610,CC de la Côtière à Montluel,10,Lyon,01360,01360,08421,69123,01202,Béligneux,2.0,UNITE URBAINE,B,2692,1794,18,150.0,194,178.0,233.0,45.833,5.097,45.831,5.108,5,Bourgs ruraux,1.0,centres locaux d'équipements et de services,Balanais,https://fr.wikipedia.org/wiki/fr:Balan (Ain),https://villedereve.fr/ville/01027-balan
24,01028,Baneins,Baneins,à Baneins,de Baneins,baneins,BANEINS,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0122,Villars-les-Dombes,200069193,CC de la Dombes,10,Lyon,01990,01990,08434,69264,01000,,0.0,HORS UNITE URBAINE,H,621,904,9,69.0,242,207.0,272.0,46.111,4.901,46.114,4.902,6,Rural à habitat dispersé,0.0,communes non pôle,Athaniens,https://fr.wikipedia.org/wiki/fr:Baneins,https://villedereve.fr/ville/01028-baneins
25,01029,Beaupont,Beaupont,à Beaupont,de Beaupont,beaupont,BEAUPONT,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0118,Saint-Étienne-du-Bois,200071751,CA du Bassin de Bourg-en-Bresse,10,Lyon,01270,01270,08405,01053,01000,,0.0,HORS UNITE URBAINE,H,700,1404,14,50.0,205,187.0,228.0,46.41,5.265,46.429,5.26,6,Rural à habitat dispersé,0.0,communes non pôle,Beaupontois,https://fr.wikipedia.org/wiki/fr:Beaupont,https://villedereve.fr/ville/01029-beaupont
26,01030,Beauregard,Beauregard,à Beauregard,de Beauregard,beauregard,BEAUREGARD,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0121,Trévoux,200042497,CC Dombes Saône Vallée,10,Lyon,01480,01480,08434,69264,00760,Lyon,7.0,UNITE URBAINE,B,830,95,1,874.0,205,168.0,240.0,46.003,4.751,46.001,4.756,4,Ceintures urbaines,1.0,centres locaux d'équipements et de services,Beauregardiens,https://fr.wikipedia.org/wiki/fr:Beauregard (Ain),https://villedereve.fr/ville/01030-beauregard
27,01031,Bellignat,Bellignat,à Bellignat,de Bellignat,bellignat,BELLIGNAT,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0114,Nantua,200042935,CA Haut - Bugey Agglomération,10,Lyon,01100,"01116, 01117, 01103, 01115, 01100",08425,01283,01402,Oyonnax,4.0,UNITE URBAINE,B,3636,779,8,467.0,662,516.0,913.0,46.242,5.629,46.237,5.636,2,Centres urbains intermédiaires,2.0,centres intermédiaires d'équipements et de services,Renouillus,https://fr.wikipedia.org/wiki/fr:Bellignat,https://villedereve.fr/ville/01031-bellignat
28,01032,Béligneux,Béligneux,à Béligneux,de Béligneux,beligneux,BÉLIGNEUX,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0112,Meximieux,240100610,CC de la Côtière à Montluel,10,Lyon,01360,01360,08421,69123,01202,Béligneux,2.0,UNITE URBAINE,C,3434,1331,13,258.0,223,210.0,275.0,45.852,5.129,45.859,5.14,5,Bourgs ruraux,1.0,centres locaux d'équipements et de services,Bélignards,https://fr.wikipedia.org/wiki/fr:Béligneux,https://villedereve.fr/ville/01032-beligneux
