name,country,code,postal_code,population,place,capital,administrative_status,designation,website,wikipedia,wikidata
Avinyonet de Puigventós,ES,17012,17742,1669,,,,,,https://ca.wikipedia.org/wiki/Avinyonet_de_Puigvent%C3%B3s,Q11227
Bellcaire d'Empordà,ES,17018,17141,722,,,,,,https://ca.wikipedia.org/wiki/Bellcaire_d%27Empord%C3%A0,Q13461
Biure,ES,17234,17723,227,,,,,,https://ca.wikipedia.org/wiki/Biure,Q11236
Borrassà,ES,17026,17770,802,,,,,,https://ca.wikipedia.org/wiki/Borrass%C3%A0,Q11242
Cadaqués,ES,17032,17488,2906,,,,,,https://ca.wikipedia.org/wiki/Cadaqu%C3%A9s,Q11263
Capmany,ES,17042,17750,677,,,,,,https://ca.wikipedia.org/wiki/Campmany,Q7106
Castelló d'Empúries,ES,17047,17486,12275,municipality,,,,,https://ca.wikipedia.org/wiki/Castell%C3%B3_d%27Emp%C3%BAries,Q11286
Celrà,ES,17049,17460,5613,,,,,,https://ca.wikipedia.org/wiki/Celr%C3%A0,Q13426
Cervià de Ter,ES,17050,17464,1030,,,,,,https://ca.wikipedia.org/wiki/Cervi%C3%A0_de_Ter,Q13428
el Port de la Selva,ES,17140,,1055,,,,,,https://ca.wikipedia.org/wiki/El_Port_de_la_Selva,Q11811
Flaçà,ES,17067,,1174,,,,,,https://ca.wikipedia.org/wiki/Fla%C3%A7%C3%A0,Q13430
Foixà,ES,17068,,298,,,,,,https://ca.wikipedia.org/wiki/Foix%C3%A0,Q13465
Garrigàs,ES,17075,,479,,,,,,https://ca.wikipedia.org/wiki/Garrig%C3%A0s,Q11329
Girona,ES,17079,,108352,,,Capitale provinciale,,,https://ca.wikipedia.org/wiki/Girona,Q7038
Juià,ES,17087,,320,,,,,,https://ca.wikipedia.org/wiki/Jui%C3%A0,Q13432
l'Escala,ES,17062,,10641,,,,,,https://ca.wikipedia.org/wiki/L%27Escala,Q11304
la Jonquera,ES,17086,,3410,,,,,,https://ca.wikipedia.org/wiki/La_Jonquera,Q7113
la Tallada d'Empordà,ES,17195,,485,,,,,,https://ca.wikipedia.org/wiki/La_Tallada_d%27Empord%C3%A0,Q13571
Llançà,ES,17092,,5033,,,,,,https://ca.wikipedia.org/wiki/Llan%C3%A7%C3%A0,Q11339
Llers,ES,17093,,1268,,,,,,https://ca.wikipedia.org/wiki/Llers,Q11342
Pont de Molins,ES,17135,,586,,,,,,https://ca.wikipedia.org/wiki/Pont_de_Molins,Q11804
Pontós,ES,17136,,295,,,,,,https://ca.wikipedia.org/wiki/Pont%C3%B3s,Q11807
Rabós,ES,17143,,236,,,,,,https://ca.wikipedia.org/wiki/Rab%C3%B3s,Q7126
Roses,ES,17152,,20175,,,,,,https://ca.wikipedia.org/wiki/Roses,Q11822
Sant Joan de Mollet,ES,17168,,536,,,,,,https://ca.wikipedia.org/wiki/Sant_Joan_de_Mollet,Q13447
Sant Julià de Ramis,ES,17169,,3702,,,,,,https://ca.wikipedia.org/wiki/Sant_Juli%C3%A0_de_Ramis,Q13453
Sant Martí Vell,ES,17173,,270,,,,,,https://ca.wikipedia.org/wiki/Sant_Mart%C3%AD_Vell,Q13458
Sant Pere Pescador,ES,17178,,2285,,,,,,https://ca.wikipedia.org/wiki/Sant_Pere_Pescador,Q11852
Sarrià de Ter,ES,17186,17840,5404,,,,,,https://ca.wikipedia.org/wiki/Sarri%C3%A0_de_Ter,Q13456
